word	n_tokens	n_docs	sites	top_series	damaged_share
pa-ra-ja	7	7	KN:4,PY:2,TH:1	Ud:2,Sa:2,Se:1	0.29
ri	7	7	KN:5,PY:1,MY:1	Uf:1,Xd:1,M-:1	0.86
ru-ki-ti-jo	7	7	KN:7	E-:3,Xd:1,Ga:1	0.14
pa-i-ti-ja	7	7	KN:7	Og:1,Ap:1,Le:1	0.00
ko-no-so	7	7	KN:7	Lc:2,Fh:1,Le:1	0.43
ne-wo	7	7	KN:3,PY:3,MY:1	Fh:1,X-:1,Od:1	0.43
ko-ro	7	7	KN:3,PY:2,TH:2	Ft:2,Od:1,De:1	0.43
a-ma	7	7	KN:7	F-:3,E-:3,As:1	0.57
a-nu-to	7	7	TH:5,KN:2	Z-:3,Fq:2,X-:1	0.29
ku-su-to-ro-qa	7	7	TH:4,PY:2,KN:1	Fq:3,Bg:1,Ed:1	0.43
e-ne-ka	7	5	PY:4,KN:3	Am:3,Ea:2,Ae:1	0.14
si-ja-du-we	7	7	KN:7	Dl:5,Am:1,Dk:1	0.43
a-tu-ko	7	7	PY:5,KN:2	Jn:2,K-:1,Dg:1	0.00
a-ko-ro	7	7	PY:5,KN:2	Fr:3,Dl:2,Ua:1	0.14
separatum	7	4	PY:6,KN:1	Cn:4,U-:1,Jo:1	0.00
ro-o-wa	7	7	PY:7	An:4,Mn:2,Nn:1	0.29
ra-pte	7	7	PY:7	Ea:6,An:1	0.14
ti-mi-to	7	1	PY:7	Cn:7	0.00
a-ke-e	7	1	PY:7	Cn:7	0.43
wo-ze-qe	7	4	PY:7	Ep:4,Eb:3	0.29
pa-ki-ja-na	7	5	PY:7	Eb:2,En:2,Eo:2	0.43
we-te-re-u	7	7	PY:7	Eb:2,En:2,Eo:2	0.14
e-ko-to	7	6	PY:7	En:2,Eo:2,Ep:2	0.14
e-re-u-te-ra	7	6	PY:7	Na:7	0.29
a-pi-qo-to	7	4	PY:7	Ta:7	0.00
sa-pi-de	7	3	PY:4,MY:3	Vn:4,Ge:3	0.71
di-we	6	5	PY:4,KN:2	Tn:2,Fp:1,F-:1	0.00
qe-ra-si-ja	6	6	KN:6	Fp:6	0.00
a-nu-ko	6	5	KN:6	Ce:2,Np:1,Dc:1	0.17
a-to-mo	6	6	PY:4,KN:2	Jn:2,V-:1,Cg:1	0.33
ku-re-we	6	5	PY:5,KN:1	An:3,B-:1,Cn:1	0.33
te-o	6	6	KN:3,PY:3	Fh:1,Od:1,Ai:1	0.33
wa-na-ta-jo	6	6	PY:5,KN:1	Eo:2,V-:1,En:1	0.00
re-u-ka	6	6	KN:3,MY:3	Ge:3,L-:1,Ld:1	0.33
po-po	6	6	KN:6	L-:3,Od:2,Ln:1	0.50
o-na	6	6	KN:3,PY:3	Ea:2,M-:1,Fh:1	0.33
me-u-jo-e	6	6	KN:6	Ak:6	0.67
ri-zo	6	6	KN:5,PY:1	As:2,Bk:1,Vs:1	0.33
a-no-wo-to	6	1	KN:6	K-:6	1.00
a-pi-me-de-o	6	6	PY:5,KN:1	Eb:3,C-:1,Cn:1	0.33
po-ti-ni-ja-we-jo	6	6	KN:4,PY:2	Dl:4,Jn:2	0.50
ka-ke-u	6	5	PY:5,KN:1	An:2,Jn:2,Vs:1	0.33
e-re-pa-te	6	6	KN:4,PY:2	Sd:3,Ta:2,Ra:1	0.17
ma-ro	6	5	KN:3,PY:3	Cn:3,Dc:1,V-:1	0.50
to-tu-no	6	6	TH:5,KN:1	Fq:5,Da:1	0.17
pa-ka-na	6	6	KN:6	Ra:6	0.67
wi-ri-ni-jo	6	6	KN:6	Sd:6	0.17
a-ni-ja	6	4	KN:3,PY:3	Sd:3,Ub:3	0.17
a-mo-ta	6	6	KN:5,PY:1	So:5,Sa:1	0.00
re	6	6	KN:3,PY:2,TH:1	X-:2,L-:1,Mn:1	0.83
we-ke	6	4	PY:5,KN:1	Ta:4,X-:1,An:1	0.33
mutila	6	5	PY:6	Eq:2,Ab:1,Cn:1	0.00
ri-ne-ja-o	6	6	PY:6	Ad:6	0.00
pa-ki-ja-si	6	5	PY:6	Vn:2,An:1,Cn:1	0.00
a-ko-so-ta	6	6	PY:6	An:1,Cn:1,Eq:1	0.00
