doc	context	sigla	epoch
HTWa1496	LMIB		LM
HTWa1497	LMIB		LM
HTWa1498	LMIB		LM
HTWa1499	LMIB		LM
HTWa1500	LMIB		LM
HTWa1501	LMIB		LM
HTWa1502	LMIB		LM
HTWa1503	LMIB		LM
HTWa1504	LMIB		LM
HTWa1505	LMIB		LM
HTWa1506	LMIB		LM
HTWa1507	LMIB		LM
HTWa1508	LMIB	LMIB	LM
HTWa1509	LMIB		LM
HTWa1510	LMIB		LM
HTWa1511	LMIB		LM
HTWa1512	LMIB	LMIB	LM
HTWa1513	LMIB		LM
HTWa1514	LMIB		LM
HTWa1515	LMIB		LM
HTWa1516	LMIB		LM
HTWa1517	LMIB		LM
HTWa1518	LMIB	LMIB	LM
HTWa1519	LMIB		LM
HTWa1520	LMIB		LM
HTWa1521	LMIB		LM
HTWa1522	LMIB		LM
HTWa1523	LMIB		LM
HTWa1524	LMIB		LM
HTWa1525	LMIB		LM
HTWa1526	LMIB		LM
HTWa1527	LMIB		LM
HTWa1528	LMIB		LM
HTWa1529	LMIB		LM
HTWa1530	LMIB	LMIB	LM
HTWa1531	LMIB	LMIB	LM
HTWa1532	LMIB		LM
HTWa1533	LMIB	LMIB	LM
HTWa1534	LMIB		LM
HTWa1535	LMIB		LM
HTWa1536	LMIB		LM
HTWa1537	LMIB		LM
HTWa1538	LMIB	LMIB	LM
HTWa1539	LMIB		LM
HTWa1540	LMIB		LM
HTWa1541	LMIB		LM
HTWa1542	LMIB		LM
HTWa1543	LMIB		LM
HTWa1544	LMIB	LMIB	LM
HTWa1545	LMIB		LM
HTWa1546	LMIB		LM
HTWa1547	LMIB	LMIB	LM
HTWa1548	LMIB		LM
HTWa1549	LMIB		LM
HTWa1550	LMIB	LMIB	LM
HTWa1551	LMIB		LM
HTWa1552	LMIB		LM
HTWa1553	LMIB		LM
HTWa1554	LMIB		LM
HTWa1555	LMIB		LM
HTWa1556	LMIB		LM
HTWa1557	LMIB		LM
HTWa1558	LMIB		LM
HTWa1559	LMIB	LMIB	LM
HTWa1560	LMIB		LM
HTWa1561	LMIB	LMIB	LM
HTWa1562	LMIB	LMIB	LM
HTWa1563	LMIB		LM
HTWa1564	LMIB		LM
HTWa1565	LMIB		LM
HTWa1566	LMIB		LM
HTWa1567	LMIB		LM
HTWa1568	LMIB		LM
HTWa1569	LMIB		LM
HTWa1570	LMIB		LM
HTWa1571	LMIB		LM
HTWa1572	LMIB		LM
HTWa1573	LMIB		LM
HTWa1574	LMIB		LM
HTWa1575	LMIB		LM
HTWa1576	LMIB		LM
HTWa1577	LMIB		LM
HTWa1578	LMIB		LM
