word	slots	n_tablets
to-ru-ko-ro	N1b	1
da-ne-wo	N1	1
o-pi-ko-wo	N1	1
o-pi-su-ko	N1	1
qa-te	N1b	1
ke-ro-te	N1	1
sa-u-ko	N6	1
ni-mo	N3	1
ru-ma-no	N3	1
ta-na-to	N3	1
sa-jo	N1	1
na-me	N2	1
a-pi-je-ta	N3	1
po-ru-da-si-jo	N6	1
a2-ke-te-re	N5	1
ke-re-wa	N6	1
o-ta2-no	N3	1
ki-si-wi-ja	N1	1
ze-pu2-ra3	N1	1
pi-ra-me-no	N1	1
ka-ra-wi-ko	N1	1
pi-we-ri-ja-ta	N1	1
sa-mu-ta-jo	N1	1
wa-u-do-no	N1	1
ka-ra-pa-so	N1	1
pi-ta-ke-u	N1	1
pa-si	N1	1
te-te-re-u	N5	1
pa-pa-jo	N5	1
pi-ro-we-ko	N5	1
a2-nu-me-no	N5	1
ko-so-u-to	N5	1
pa-ke-te-ja-o-qe	N1	1
a-pu-ko-wo-ko	N1	1
da-i-ze-to	N3	1
ke-ti-ri-ja	N1	1
to-sa-me-ja-o	N1b	1
wa-e-ro	N1	1
e-sa-re-we	N1	1
po-ti-ni	N3	1
te-mi	N3	1
tu-ma-da-ro	N3	1
te-wa-jo	N1	1
ko-ru-to	N3	1
ko-i-ro	N4	1
te-mi-ti-jo	N1	1
o-pi-te-u-ke-e-we	N1	1
te-u-ke-e-we	N1	1
to-wo-ko	N1	1
po-ru-da-ma-te	N1	1
qa-ra2-te	N1	1
pi-ri-ja-me-ja	N1	1
e-ni-ja-u-si-jo	N1	1
qo-ta-wo	N1	1
a-ta	N1	1
te-o-po-qo	N1	1
ka-wa-ro	N3	1
ka-pu-ro	N5	1
ka-na-po-to	N5	1
ru-ro	N5	1
ta-u-ro	N5	1
ja-sa-ro	N5	1
to-ro	N1	1
qe-ri-jo	N1	1
a3-zo-ro-qe	N1b	1
da-ro	N1	1
a-ko-da-mo	N1	1
me-to-re	N3	1
si-mi-do	N1	1
ro-ti-jo	N1	1
da-i-mi-so	N3	1
si-ta-ro	N3	1
ri-ja-ta	N3	1
we-jo	N1	1
u-de-wi-ni-jo	N1	1
o-ke-u	N4	1
ki-ki-jo	N3	1
wo-no-qo-so	N1b	1
jo-ro	N3	1
i-qo	N1	1
pa-ki	N6	1
na-po	N5	1
da-we-ro	N1	1
te-re	N1	1
i-ro-to	N1b	1
na-jo	N1	1
a-da-wa-si-jo	N1	1
po-ku	N1	1
do-e-ro-jo	N1	1
e-u	N1	1
pi-ta	N1	1
re-ro	N1	1
pe-se-to	N1	1
e-ta-wo-jo	N1	1
a3-to	N3	1
wa-si-ro	N5	1
ma-ta-u-ro	N3	1
o-ri-mo	N1	1
pi-ja-mu-nu	N1	1
ni-ta	N1b	1
o-sa-po-to	N1	1
mo-ro-qa	N1	1
ke-to-ro	N1	1
we-wo-ni-jo	N1	1
ku-no-o	N1	1
me-tu-ro	N1	1
po-ro-i	N1	1
e-u-o-mo	N6	1
o-re-i	N1	1
qa-da-so	N3	1
e-pi-ke-re	N7	1
pa-ra-to	N3	1
e-re-pa-to	N6	1
ka-ra-ma-to	N5	1
ke-ma-ta	N5	1
me-re-ja	N6	1
pe-ri-qo	N3	1
re-me-to	N3	1
a-ro-po	N1	1
e-u-ka-no	N2	1
da-i-ta-ra-ro	N3	1
ra-wa-ra-ti-ja	N1	1
a2-ki-ja	N1b	1
ma-sa	N1	1
pa-ru	N3	1
ka-pa	N7	1
u-pi-ja-ki-ri-jo	N1b	1
wa-wo-u-de	N1b	1
te-ru-ro	N3	1
a3-du-wo-na	N1	1
wi-ja-na-tu	N1	1
i-ta-ja	N1	1
qa-sa-ro-we	N1	1
mi-ta-qo	N3	1
e-wo-ta-de	N1	1
pe-re-qo-ta	N2	1
a-re-i	N6	1
di-ra-qo	N3	1
ra-so	N3	1
e-ke-a	N5	1
e-mi-ja-ta	N5	1
ka-mu-ko-to	N5	1
ke-ra-ja	N5	1
we-ka-di-jo	N5	1
ma-ke-ra	N5	1
de-ro	N5	1
a-ti-ka	N5	1
qa-da-ro	N5	1
ka-sa-no	N5	1
to-ro-ki-no	N5	1
wi-ri-ki-no	N5	1
re-po-so	N6	1
qe-te-se-u	N1	1
ke-ti-ra-wo	N6	1
wo-do	N5	1
ra-qi-ti-ra2	N1	1
pe-ri-no	N1	1
a-no-me-de	N1	1
qi-si-ja-ko	N1	1
mu-to-na	N1	1
ka-pa-ra2	N1	1
ka-ri-si-jo	N5	1
ko-a2-ta	N5	1
ko-do-ro	N5	1
no-si-ja	N6	1
i-ke-se-ra	N3	1
a-ka-to-wa	N6	1
pe-ki-ti-ra2	N1	1
di-ki-nu-wo	N3	1
ki-jo-qe-u	N1b	1
e-ro-ma-to	N1	1
mi-to-no	N1b	1
mu-ko	N1b	1
da-ka-sa-na-ta	N1b	1
a-we-u-pi	N1	1
ma-ta-i	N1b	1
o-nu	N1b	1
ta-ra-ke-wi	N1	1
e-qa-ro	N3	1
te-o-ne	N1	1
o-wi-ti-ni-jo	N1b	1
si-we	N1	1
si-re-we	N1	1
tu-da-ra	N3	1
me-qe	N1	1
ra-to-po-ro	N1	1
e-wo-ro-qe	N1	1
re-u-ka-so	N2	1
ja-ma-ra	N5	1
po-mi-ni-jo	N5	1
wa-du-na	N5	1
re-u-ko-ro-o-pu2-ru	N1	1
a3-ta-ro	N1	1
wi-du-wo-i-jo	N1	1
a-me-no	N1	1
pa-pu-so	N1	1
a-ka-sa-no	N1	1
na-wa-to	N5	1
ru-ki-jo	N5	1
a-na-te-u	N5	1
a-re-te-re-u	N6	1
ko-ro-ki-ja-o	N1b	1
te-mi-ro	N3	1
te-ru-sa	N3	1
ko-to-no	N7	1
a-ze-o	N3	1
e-u-wa-re	N1	1
o-ke-te-u	N1	1
pe-ri-qo-ta	N1	1
a-me-to	N1	1
ta-re-u	N1	1
tu-ri-jo	N1	1
ta-na-wo	N5	1
pe-qe-u	N5	1
o-ti-ra2	N1	1
ke-nu-wa-so	N5	1
su-ru-so	N3	1
wi-da-ka-so	N3	1
e-ka-ra	N7	1
