word	slots	n_docs
ku-pa-ri-si-jo	N1,N1b	1
ku-pe-re-te	N1	1
ku-pi-ri-jo	N2	1
ku-ra-no	N5,N6	1
ku-re-we	N1	3
ku-ri-sa-to	N1	2
ku-ro2	N1,N2	2
ku-ro2-jo	N1b	1
ku-ru-me-ni-jo	N3	1
ku-ru-so-jo	N1	1
ku-ru-so-wo-ko	N1	1
ku-sa-me-ni-jo	N1b	1
ku-so	N4	1
ku-su-pa-ta	N3	1
ku-su-to-ro-qa	N1	1
ku-ta-si-jo	N3	2
ku-ta-to	N3	20
ku-te-ra-o	N1b	1
ku-te-ra3	N1	1
ku-to	N1	1
ku-tu-qa-no	N3,N6	2
ma	N1,N3,N6	4
ma-di	N1,N3,N6	2
ma-di-qo	N1,N3	2
ma-ja-ro	N1	1
ma-jo	N6	1
ma-ka-ta	N5	1
ma-ka-wo	N5	1
ma-ma-ro	N1	1
ma-na-si-we-ko	N1	1
ma-no-u-ro	N5	3
ma-ra	N1,N5,N6	2
ma-ra-ne-nu-we	N1	1
ma-ra-pi-jo	N3	1
ma-ra-ta	N1	1
ma-ri-ta	N5	1
ma-ri-ti-wi-jo	N2,N3	2
ma-ro	N3	1
ma-ta-i	N1b	1
ma-ta-ko	N5	1
ma-ta-u-ro	N3	1
ma-ti-jo	N1,N3	1
ma-ti-ko	N5,N6	1
ma-to-ro-pu-ro	N1	1
ma-u-ti-jo	N1,N2	2
ma-wa-si-jo	N1	1
me-de	N1	1
me-de-i-jo	N1	1
me-ki-ti	N3	1
me-ki-to-ki-ri-ta	N1	1
me-ne-u	N1	1
me-ni-jo	N1	1
me-no	N1,N5	2
me-ra-to	N5	1
me-re-ja	N6	1
me-re-ti-ra2	N1	1
me-re-ti-ri-ja	N1	2
me-ri-da-ma-te	N1	1
me-ri-du-ma-te	N1	4
me-ri-to	N1b,N6	1
me-ri-wa-ta	N3	1
me-ta-ki-ti-ta	N1	1
me-ta-pa	N1,N1b	7
me-ta-ra-wo	N1b	1
me-ta-ri-ko-wo	N6	1
me-te-to-de	N1	1
me-te-we	N2	1
me-to-qe-u	N1	1
me-tu-ra	N1b	1
me-wi-jo-e	N5	1
me-zo-e	N5	1
mi	N1	1
mi-ja-ra-ro	N1	1
mi-jo-qa	N1b	1
mi-ka-ri-jo-jo	N5	1
mi-ka-ta	N1,N5,N6	2
mi-ka-to	N6	1
mi-ko-no	N1	1
mi-ni-to	N3	1
mi-ra-ti-ja	N1	3
mi-ra-ti-ja-o	N1b	1
mi-ra-ti-ra	N1	1
mi-ru-ro	N1,N3	2
mi-ta-qo	N3	1
mi-ti	N3	1
mi-to-no	N1b	1
mo	N3	2
mo-da	N1	1
mo-i-da	N1	2
mo-ni-ko	N3	1
mo-qo-so	N3	1
mo-re	N3	1
mo-re-u	N1,N5	2
mo-ro-qo-ro	N2,N7	2
mo-ro-qo-ro-jo	N2	1
mu-da	N3	1
mu-ko	N1b	1
mu-ta-pi	N1,N1b	2
na	N6	1
na-e-si-jo	N1	2
na-ka	N4	1
na-me	N2	1
na-pu-ti-jo	N3,N5	2
na-ro	N3	1
na-ru	N3	1
na-si-jo	N1	1
na-so	N1	1
na-su-to	N1	2
na-wa-to	N5	1
na-wi-ro	N3	1
ne	N3	3
ne-de-we-e	N1	1
ne-do-wo-ta-de	N1	1
ne-ki-ri-de	N1	1
ne-me-ta-wo	N1	1
ne-o	N6	1
ne-o-ta	N1,N6	1
ne-o-to	N1,N6	1
ne-qe-u	N1	1
ne-ri-to	N2	1
ne-ti-ja-no	N1	1
ne-ti-ja-no-re	N2	1
ne-u	N1,N3,N6	3
ne-we-wi-ja	N1	1
ne-we-wi-ja-o	N1b	1
ne-wo	N1,N5	2
ne-wo-pe-o	N1,N1b	3
ni-ja-so	N3	1
ni-jo	N1,N6	1
ni-mo	N3	1
ni-ta	N1b,N6	1
ni-to	N3	2
no	N1,N3,N5,N6	7
no-da-ro	N1,N3	2
no-e-u	N5	1
no-qe	N1	1
no-ri-wo-ko	N1	1
no-ri-wo-ko-jo	N1b	1
no-sa-ro	N3	1
no-si-ro	N1,N6	1
no-ta-na	N3	1
nu-ka	N3	1
nwa	N3	1
nwa-re	N6	1
o	N1,N1b,N3	73
o-ka	N4	1
o-ka-ra3	N1,N1b	4
o-ke-te-u	N1	1
o-ke-u	N4	1
o-ki-ro	N3	1
o-ko-te	N6	2
o-ku	N3,N5,N6	3
o-ku-ka	N2	1
o-ku-no	N3	1
o-na-jo	N3,N5	2
o-na-se-u	N1,N1b,N5	4
o-na-to	N4,N7	14
o-ne-u	N3	1
o-nu-ke-ja	N1	1
o-pe-ra-no	N5	2
o-pe-re-ta	N1	1
o-pe-ro	N1	7
o-pe-ro-te	N1b	1
o-pe-ta	N1	1
o-pi	N6	1
o-pi-ja-ro	N1	1
o-pi-ko-wo	N1	1
o-pi-ra-i-ja	N1	1
o-pi-ro-qo	N1	2
o-pi-si-jo	N1,N5,N6	3
o-pi-su-ko	N1	1
o-pi-te-u-ke-e-we	N1	1
o-pi-te-u-ke-we	N1	1
o-pi-ti-ni-ja-ta	N4	2
o-po-ro-me-no	N4	1
o-po-ro-u-si-jo	N1	1
o-qa	N1	1
o-qe	N1b	1
o-qe-qa	N2	1
o-re-i	N1	1
o-re-te-wo	N3	1
o-ri-ko	N1	1
o-ri-mo	N1,N6	1
o-ru-ma-si-ja-jo	N1	1
o-ru-ma-to	N1b	1
o-ru-we-ro	N5	1
o-sa-po-to	N1	1
o-ti-ra2	N1	1
o-ti-ra2-o	N1b	1
o-ti-ri-ja	N1	1
o-to	N7	1
o-to-ro-qa	N3	1
o-to-wo-o	N1b	1
o-tu	N1b	1
o-tu-wo-we	N5	2
o-wa-ko	N2,N5	2
o-we-to	N3	1
o-wi-da	N5	1
o-wi-ro	N3	1
o-wi-ti-ni-jo	N1b	1
o-wi-to-no	N1	1
o-wo-ta	N5	1
o-wo-to	N1,N2	2
o-wo-ze	N7	1
pa	N3	14
pa-da-je-u	N4	1
pa-da-je-we	N2,N7	1
pa-i-ti-ja	N6	1
pa-i-to	N3	8
pa-ja-ni	N1	1
pa-ja-ro	N1,N6	1
pa-ja-so	N3	1
pa-ke-te-ja	N1,N1b	3
pa-ki-ja-na	N4	2
