word	count	n_docs
to-wo	2	2
ne-to	2	2
pe-qe-u	2	2
ru-wa	2	2
o-ka-ra	2	2
e-u	2	2
a-wa	2	2
ri-so-wa	2	2
sa-ma	2	2
e-po-mi-jo	2	2
ka-ta-ro	2	2
ko-we	2	2
do	2	2
nu-se	2	2
jo-jo	2	2
me-re-ti-ri-ja	2	2
a-ke-ti-ri-ja	2	2
ke-e	2	2
a-ra-ka-te-ja	2	2
ko-ro-ki-ja	2	2
ti-nwa-si-ja	2	2
we-we-si-je-ja	2	2
a-da-ra-te-ja	2	2
ka-pa-ra2-de	2	2
ki-ni-di-ja	2	2
pa-wo-ke	2	2
ra-wi-ja-ja	2	2
ri-ne-ja	2	2
a-ke-ti-ra2-o	2	2
mi-ra-ti-ja-o	2	2
ku-te-ra-o	2	2
tu-ra-te-u	2	2
du-ni-jo-jo	2	2
qe-to-ro-po-pi	2	2
ta-ra-ma-ta-o	2	2
ke-ro-wo	2	2
pi-ra-jo	2	2
te-ta-ra-ne	2	2
a-po-ne-we	2	2
qe-re-me-ti-wo	2	2
mu-ta-pi	2	2
te-ko-to-na-pe	2	1
tu-ru-pte-ri-ja	2	2
pa-ra-we-wo	2	2
qo-ta-wo	2	2
wo-wi-ja-ta	2	2
sa-ri-qo-ro	2	2
a-we-u-pi	2	1
ka-ra-u-ro	2	2
ta-ra-to	2	2
a-pi-jo-to	2	1
o-wo-to	2	2
ta-we-si-jo-jo	2	2
tu-ru-we-u	2	2
a-pi-o-to	2	2
ra-wa-ra-ta2	2	2
po-ti-ja-ke-e	2	2
pu-ti-ja	2	2
a-no-ra-ta	2	2
te-u-ta-ra-ko-ro	2	2
sa-ri-nu-wo-te	2	2
pa-ko	2	2
mu-to-na	2	2
a-pi-te-wa	2	2
de-wi-jo	2	2
ko-ma-we	2	2
pi-ru-te	2	2
ku-sa-me-ni-jo	2	2
ma-te-de	2	1
ku-te-re-u-pi	2	2
ma-te	2	1
pa-te-de	2	1
wo-qe-we	2	2
za-e-to-ro	2	2
ko-tu-we	2	2
e-qo-te	2	2
a-ti-ja-wo	2	2
a-re-ku-tu-ru-wo	2	2
pe-ri-no	2	2
pu2-ti-ja	2	2
a-pu2-ka-ne	2	2
a-da-ra-ti-jo	2	2
ka-e-sa-me-no	2	2
e-te-wa	2	2
ku-pa-ri-si-jo	2	1
ke-ki-jo	2	2
e-u-ka-ro	2	2
a-pe-e-ke	2	1
o-pe-ro-te	2	2
e-ko-si-qe	2	2
o-pi-da-mi-jo	2	2
te-re-ne-wi-ja	2	2
me-ta-ka-wa	2	1
ma-ra-si-jo	2	2
